"dlnumber","filename"
"16834","Citrix_Virtual_Apps_and_Desktops_7_1912.iso"
"16837","VDAServerSetup_1912.exe"
"16838","VDAWorkstationSetup_1912.exe"
"16839","VDAWorkstationCoreSetup_1912.exe"
"16555","Citrix_Virtual_Apps_and_Desktops_7_1909.iso"
"16558","VDAServerSetup_1909.exe"
"16559","VDAWorkstationSetup_1909.exe"
"16560","VDAWorkstationCoreSetup_1909.exe"
"16107","Citrix_Virtual_Apps_and_Desktops_7_1906.iso"
"16110","VDAServerSetup_1906.exe"
"16111","VDAWorkstationSetup_1906.exe"
"16112","VDAWorkstationCoreSetup_1906.exe"
"15901","VDAServerSetup_1903.exe"
"15902","VDAWorkstationSetup_1903.exe"
"15903","VDAWorkstationCoreSetup_1903.exe"
"17568","Citrix_Virtual_Apps_and_Desktops_7_2003.iso"
"17569","VDAServerSetup_2003.exe"
"17570","VDAWorkstationSetup_2003.exe"
"17571","VDAWorkstationCoreSetup_2003.exe"
"17823","Citrix_Virtual_Apps_and_Desktops_7_2006.iso"
"17824","VDAServerSetup_2006.exe"
"17825","VDAWorkstationSetup_2006.exe"
"17826","VDAWorkstationCoreSetup_2006.exe"
"18750","Citrix_Virtual_Apps_and_Desktops_7_2009.iso"
"18751","VDAServerSetup_2009.exe"
"18752","VDAWorkstationSetup_2009.exe"
"18753","VDAWorkstationCoreSetup_2009.exe"
"18862","Citrix_Virtual_Apps_and_Desktops_7_2012.iso"
"18863","VDAServerSetup_2012.exe"
"18864","VDAWorkstationSetup_2012.exe"
"18865","VDAWorkstationCoreSetup_2012.exe"
"19143","Citrix_Virtual_Apps_and_Desktops_7_2103.iso"
"19144","VDAServerSetup_2103.exe"
"19145","VDAWorkstationSetup_2103.exe"
"19146","VDAWorkstationCoreSetup_2103.exe"